Alert,Description,MITRE tactics,Severity,Alert Family,Alert Type ()
Custom script extension with suspicious payload in your virtual machine,Custom script extension with a payload from a suspicious GitHub repository was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Execution,Medium,Alerts for Linux machines,(VM_CustomScriptExtensionSuspiciousPayload)
Detected anomalous mix of upper and lower case characters in command line,Analysis of host data on %{Compromised Host} detected a command line with anomalous mix of upper and lower case characters. This kind of pattern  while possibly benign  is also typical of attackers trying to hide from case-sensitive or hash-based rule matching when performing administrative tasks on a compromised host.,-,Medium,Alerts for Linux machines,
Detected file download from a known malicious source,Analysis of host data has detected the download of a file from a known malware source on %{Compromised Host}.,-,Medium,Alerts for Linux machines,
Detected suspicious network activity,Analysis of network traffic from %{Compromised Host} detected suspicious network activity. Such traffic  while possibly benign  is typically used by an attacker to communicate with malicious servers for downloading of tools  command-and-control and exfiltration of data. Typical related attacker activity includes copying remote administration tools to a compromised host and exfiltrating user data from it.,-,Low,Alerts for Linux machines,
Digital currency mining related behavior detected,Analysis of host data on %{Compromised Host} detected the execution of a process or command normally associated with digital currency mining.,-,High,Alerts for Linux machines,
Disabling of auditd logging [seen multiple times],The Linux Audit system provides a way to track security-relevant information on the system. It records as much information about the events that are happening on your system as possible. Disabling auditd logging could hamper discovering violations of security policies used on the system. This behavior was seen [x] times today on the following machines: [Machine names],-,Low,Alerts for Linux machines,
Exploitation of Xorg vulnerability [seen multiple times],Analysis of host data on %{Compromised Host} detected the user of Xorg with suspicious arguments. Attackers may use this technique in privilege escalation attempts. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Alerts for Linux machines,
Failed SSH brute force attack,Failed brute force attacks were detected from the following attackers: %{Attackers}. Attackers were trying to access the host with the following user names: %{Accounts used on failed sign in to host attempts}.,Probing,Medium,Alerts for Linux machines,(VM_SshBruteForceFailed)
Fileless Attack Behavior Detected,The memory of the process specified below contains behaviors commonly used by fileless attacks.,Execution,Low,Alerts for Linux machines,(VM_FilelessAttackBehavior.Linux)
Fileless Attack Technique Detected,The memory of the process specified below contains evidence of a fileless attack technique. Fileless attacks are used by attackers to execute code while evading detection by security software.,Execution,High,Alerts for Linux machines,(VM_FilelessAttackTechnique.Linux)
Fileless Attack Toolkit Detected,The memory of the process specified below contains a fileless attack toolkit: {ToolKitName}. Fileless attack toolkits typically don’t have a presence on the filesystem  making detection by traditional anti-virus software difficult.,Defense Evasion  Execution,High,Alerts for Linux machines,(VM_FilelessAttackToolkit.Linux)
Hidden file execution detected,Analysis of host data indicates that a hidden file was executed by %{user name}. This activity could either be legitimate activity  or an indication of a compromised host.,-,Informational,Alerts for Linux machines,
New SSH key added [seen multiple times],A new SSH key was added to the authorized keys file. This behavior was seen [x] times today on the following machines: [Machine names],Persistence,Low,Alerts for Linux machines,(VM_SshKeyAddition)
New SSH key added,A new SSH key was added to the authorized keys file,-,Low,Alerts for Linux machines,
Possible backdoor detected [seen multiple times],Analysis of host data has detected a suspicious file being downloaded then run on %{Compromised Host} in your subscription. This activity has previously been associated with installation of a backdoor. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Alerts for Linux machines,
